+----------------------+-------------------------------------------------------+
| 3SNAVIGATION Rcvrs   |                                                       |
| IGS Codes-20 columns |                      Description                      |
| XXXXXXXXXXXXXXXXXXXX |                                                       |
+----------------------+-------------------------------------------------------+
| 3SNAV GNSS-300       |  L1 C/A GPS/GLONASS, 12 channel                       |
| 3SNAV GNSS-300T      |  L1 C/A GPS/GLONASS, 18 channel                       |
| 3SNAV R100 OLD       |  L1 C/A GPS/GLONASS, 12 channel                       |
| 3SNAV R101 OLD       |  GLONASS L1, L2 C/A and P Code, 4 channel             |
|                      |  Note: For all R100 series below, additional P code   |
|                      |   GLONASS channels available up to total of 12        |
| 3SNAV R100-30        |  GLONASS L1-band or L2-band, C/A-code or P-code,      |
|                      |   2 channel                                           |
| 3SNAV R100-30T 2     |  GLONASS L1 C/A code and L1/L2 P code, 2 channel      |
| 3SNAV R100-30T 12    |  R100-30T 2 with L1 C/A GPS/GLONASS expansion,        |
|                      |   up to 12 channels                                   |
| 3SNAV R100-40        |  GLONASS L1-band or L2-band, C/A-code or P-code,      |
|                      |   4 channel                                           |
| 3SNAV R100-40T 4     |  GLONASS L1 C/A code and L1/L2 P code, 4 channel      |
| 3SNAV R100-40T 12    |  R100-40T 4 with L1 C/A GPS/GLONASS expansion,        |
|                      |   up to 12 channels                                   |
+----------------------+-------------------------------------------------------+
| 3SNAVIGATION Antennae|                                                       |
| IGS Codes-15 columns |                      Description                      |
| XXXXXXXXXXXXXXX DOME |                                                       |
+----------------------+-------------------------------------------------------+
| 3S-02-1AERO-CR       |  L1 assembly with Aero antenna without chokerings     |
| 3S-02-1AERO+CR       |  L1 assembly with Aero antenna and chokerings         |
| 3S-02-2AERO+CR       |  L1/L2 assembly with Aero antenna and chokerings      |
| 3S-02-2AERO+GP       |  L1/L2 assembly with Aero antenna and groundplane     |
| 3S-02-DM+CR          |  L1/L2 assembly,                                      |
|                      |   Dorne Margolin element and chokerings               |
| 3S-02-DM-CR          |  L1/L2 assembly,                                      |
|                      |   Dorne Margolin element without chokerings           |
| 3S-02-MACOM+GP       |  L1 assembly, M/Acom helix antenna and groundplane    |
| 3S-02-MAN            |  L1 assembly with MAN Tech antenna                    |
| 3S-02-TE+GP          |  L1/L2 assembly with Tecomm antenna and groundplane   |
| 3S-02-TSADM          |  TSA-100 assembly with Dorne Margolin antenna         |
| 3S-02-TSATE          |  TSA-100 assembly with Tecomm antenna                 |
+----------------------+-------------------------------------------------------+

+----------------------+-------------------------------------------------------+
| ASHTECH Receivers    |                                                       |
| IGS Codes-20 columns |                      Description                      |
| XXXXXXXXXXXXXXXXXXXX |                                                       |
+----------------------+-------------------------------------------------------+
| ASHTECH xxxxxxxx     | Note: Ashtech receiver types xxxxxxxx are passed      |
|                      |  automatically through firmware to S- and B-files     |
| ASHTECH 3DF-XXIV     |  4x6 channel, L1 only                                 |
| ASHTECH D-XII        |  12  channel, L1 only                                 |
| ASHTECH G-XII        |  12  channel, L1 only                                 |
| ASHTECH GG24C        |  24  channel, L1 only, GPS & GLONASS (GG-Surveyor)    |
| ASHTECH L-XII        |  12  channel, codeless L2                             |
| ASHTECH LCS-XII      |  12  channel, L1 only                                 |
| ASHTECH LM-XII3      |  12  channel, L1/L2 P1/P2, Model 700340A              |
| ASHTECH M-XII        |  12  channel, L1 only, photogrammetric option         |
| ASHTECH MS-XII       |  12  channel, L1 only                                 |
| ASHTECH P-XII3       |  12  channel, L1/L2 P1/P2 (P-12), Model 700363B       |
| ASHTECH PF500        |  75  channel GPS L1/L2/L2C, GLONASS, SBAS             |
|                      |   ProFlex 500 CORS receiver                           |
| ASHTECH RANGER       |  12  channel, codeless L2                             |
| ASHTECH S-XII        |  12  channel, L1 only                                 |
| ASHTECH SUPER-CA     |  12  channel, L1 only                                 |
| ASHTECH UZ-12        |  12 channel L1/L2 P1/P2 (Z-Surveyor/MicroZ/Z-fx/iCGRS)|
| ASHTECH Z-X          |  12 channel, L1/L2 P1/P2 Z-Xtreme                     |
|                      |  (Note: firmware reports UZ-12 but RF section         |
|                      |   is different)                                       |
| ASHTECH Z-XII3       |  12  channel, L1/L2 P1/P2                             |
|                      |  [includes Models 700570, 700724 (Z-12) and 700845    |
|                      |    (including LPZ-12 and Z-12 CGRS)]                  |
| ASHTECH Z-XII3GETT   |  12  channel, L1/L2 P1/P2 modified for time transfer  |
|                      |  (Note: firmware reports "Z-XII3")                    |
| ASHTECH Z-XII3T      |  12  channel, L1/L2 P1/P2 with Metronome option       |
|                      |  (Note: firmware reports "Z-XII3")                    |
| ASHTECH Z18          |  18  channel, L1/L2 P1/P2, GPS & GLONASS (Z-18)       |
+----------------------+-------------------------------------------------------+
| ASHTECH Antennae     |                                                       |
| IGS Codes-15 columns |                      Description                      |
| XXXXXXXXXXXXXXX DOME |                                                       |
+----------------------+-------------------------------------------------------+
| ASH700228A           |  Geodetic L1/L2 Model 700228A                         |
|                      |   11.2 inch groundplane, handles                      |
|                      |   8 holes labeled A-H for HI measurement              |
|                      |   leveling bubble, compass, external LNA,             |
|                      |   8 attachments for extended groundplane              |
| ASH700228A+EX        |  Model 700228A with extended groundplane              |
| ASH700228B           |  Geodetic L1/L2 Model 700228B                         |
|                      |   new external LNA for extra RF filtering             |
| ASH700228B+EX        |  Model 700228B with extended groundplane              |
| ASH700228C           |  Geodetic L1/L2 Model 700228C                         |
|                      |   eliminated leveling bubble                          |
| ASH700228C+EX        |  Model 700228C with extended groundplane              |
| ASH700228D           |  Geodetic L1/L2 "REV. B" 700228D                      |
|                      |   8 "L" shaped slots for HI measurement labeled A-H   |
| ASH700228E           |  Geodetic L1/L2 "REV. B" 700228E (same as D)          |
| ASH700699.L1         |  700699B_Mar.III_L1                                   |
| ASH700700.A          |  Dual freq. marine antenna Model 700700.A             |
| ASH700700.B          |  Dual freq. marine antenna Model 700700.B             |
| ASH700700.C          |  Dual freq. marine antenna Model 700700.C             |
| ASH700718A           |  Geodetic III "Whopper" Model 700718A                 |
|                      |   14.5 inch groundplane, new antenna element,         |
|                      |   compass, no handles                                 |
| ASH700718A1          |  Geodetic III "Whopper" Model 700718A1 (same as A),   |
|                      |   cosmetic changes to antenna dome mounting           |
| ASH700718B           |  Geodetic III "Whopper" Model 700718B (same as A)     |
| ASH700829.2          |  Geodetic III "Whopper" Model 700829.2 (USCG)         |
|                      |  same as 700718 but with "snow cone" antenna dome and |
|                      |   weather proof paint                                 |
| ASH700829.3          |  Geodetic III "Whopper" Model 700829.3 (USCG)         |
|                      |   cosmetic changes to antenna dome mounting           |
|                      |   (same as models 700829.A and 700829.A1, see below)  |
| ASH700829.A          |  Geodetic III "Whopper" Model 700829.A (USCG)         |
| ASH700829.A1         |  Geodetic III "Whopper" Model 700829.A1 (USCG)        |
| ASH700936A_M         |  Dorne Margolin with chokerings, Model 700936A        |
|                      |   C146 Dorne Margolin element, milled chokerings      |
| ASH700936B_M         |  Dorne Margolin with chokerings, Model 700936B        |
|                      |   changed internal RF cabling                         |
| ASH700936C_M         |  Dorne Margolin with chokerings, Model 700936C        |
|                      |   improved antenna element centering                  |
| ASH700936D_M         |  Dorne Margolin with chokerings, Model 700936D        |
|                      |   same as 700936C, logo added to antenna dome         |
| ASH700936E           |  Dorne Margolin with chokerings, Model 700936 REV E   |
| ASH700936E_C         |  Dorne Margolin with chokerings, Model 700936.02 REV E|
|                      |   cast chokerings, original SCIGN design - recalled   |
| ASH700936F_C         |  Dorne Margolin with chokerings, Model 700936.02 REV F|
|                      |   same as ASH700936E_C - recalled                     |
| ASH701008.01B        |  Geodetic IIIA, Model 701008-01(B)                    |
| ASH701073.1          |  GPS/GLONASS (GG) dual-frequency with chokerings      |
|                      |   Model 701073 REV 1, supplied with Z18 receiver      |
| ASH701073.3          |  Model 701073 REV 3                                   |
| ASH701933A_M         |  Dorne Margolin with chokerings, Model 701933 REV A   |
|                      |   milled chokerings, watertight design,               |
|                      |   shallow threads                                     |
| ASH701933B_M         |  Dorne Margolin with chokerings, Model 701933 REV B   |
|                      |   milled chokerings, watertight design,               |
|                      |   shallow threads                                     |
| ASH701933C_M         |  Dorne Margolin with chokerings, Model 701933 REV C   |
|                      |   milled chokerings, watertight design,               |
|                      |   shallow threads, no humidity indicator              |
| ASH701941.1          |  Dual Frequency GPS/GLONASS Model 701941-NN REV 1     |
| ASH701941.2          |  Dual Frequency GPS/GLONASS Model 701941-NN REV 2     |
| ASH701941.A          |  Dual Frequency GPS/GLONASS Model 701941-NN REV A     |
| ASH701941.B          |  Dual Frequency GPS/GLONASS Model 701941-NN REV B     |
| ASH701945B_M         |  Dorne Margolin with chokerings, Model 701945-NN REV B|
|                      |   milled chokerings, watertight design                |
|                      |   (replaces recalled SCIGN ASH700936E_C antenna)      |
| ASH701945C_M         |  Dorne Margolin with chokerings, Model 701945-NN REV C|
|                      |   milled chokerings, watertight design                |
| ASH701945D_M         |  Dorne Margolin with chokerings, Model 701945-NN REV D|
|                      |   (only a few manufactured)                           |
| ASH701945E_M         |  Dorne Margolin with chokerings, Model 701945-NN REV E|
|                      |   milled chokerings, watertight design (includes E1)  |
| ASH701945G_M         |  Dorne Margolin with chokerings, Model 701945-NN REV G|
|                      |   (no physical changes from REV E)                    |
| ASH701946.2          |  Dorne Margolin with chokerings,Model 701946-NN REV 2 |
|                      |   (GPS + GLONASS)                                     |
| ASH701946.3          |  Dorne Margolin with chokerings,Model 701946-NN REV 3 |
|                      |   (GPS + GLONASS)                                     |
| ASH701975.01A        |  Geodetic IV, Rev A                                   |
| ASH701975.01AGP      |  Geodetic IV, Rev A with groundplane                  |
| ASHAC_L1             |  Single freq. without groundplane for aircraft use    |
| ASHAC_L1/L2          |  Dual freq. without groundplane for aircraft use      |
| ASHMAR/RANGE         |  Marine antenna, L1 only with a small groundplane     |
+----------------------+-------------------------------------------------------+
| Previously valid     |  New Codes                                            |
+----------------------+-------------------------------------------------------+
| 700228 NOTCH         |  ASH700228A           | ASH700228B                    |
|                      |  ASH700228C           | ASH700228D                    |
|                      |  ASH700228E                                           |
| 700228 RINGS         |  ASH700228A           | ASH700228B                    |
|                      |  ASH700228C           | ASH700228D                    |
|                      |  ASH700228E                                           |
| A-C L1               |  ASHAC_L1                                             |
| A-C L1/L2            |  ASHAC_L1/L2                                          |
| ASH701945.02B        |  ASH701945B_M                                         |
| ASH701946.012        |  ASH701946.2                                          |
| ASH701946.022        |  ASH701946.2                                          |
| ASH701975.01Agp      |  ASH701975.01AGP                                      |
| ASHTECH MICROZ       |  ASHTECH UZ-12                                        |
| DORNE MARGOLIN ASH   |  ASH700936A_M         | ASH700936B_M                  |
|                      |  ASH700936C_M         | ASH700936D_M                  |
| GEODETIC III L1/L2   |  ASH700718A           | ASH700718A1                   |
|                      |  ASH700718B           | ASH700829.2                   |
|                      |  ASH700829.3                                          |
| GEODETIC L1/L2 L     |  ASH700228A           | ASH700228B                    |
|                      |  ASH700228C                                           |
| GEODETIC L1/L2 P     |  ASH700228D           | ASH700228E                    |
| MARINE/RANGE         |  ASHMAR/RANGE                                         |
+----------------------+-------------------------------------------------------+
| ASHTECH Antenna Domes|                                                       |
| IGS Codes-cols.17-20 |                      Description                      |
| XXXXXXXXXXXXXXX DOME |                                                       |
+----------------------+-------------------------------------------------------+
| xxxxxxxxxxxxxxx SNOW |  ASHTECH conical "snow" antenna dome                  |
+----------------------+-------------------------------------------------------+

+----------------------+-------------------------------------------------------+
| JAVAD Receivers      |                                                       |
| IGS Codes-20 columns |                      Description                      |
| XXXXXXXXXXXXXXXXXXXX |                                                       |
+----------------------+-------------------------------------------------------+
| JAVAD DUO_G2         | 216 channels GPS L1, Galileo E1                       |
| JAVAD DUO_G2 DELTA   | 216 channels GPS L1, Galileo E1                       |
| JAVAD DUO_G2 SIGMA   | 216 channels GPS L1, Galileo E1                       |
| JAVAD DUO_G2D        | 216 channels GPS L1/L2/L2C, Galileo E1                |
| JAVAD DUO_G2D DELTA  | 216 channels GPS L1/L2, Galileo E1                    |
| JAVAD DUO_G2D SIGMA  | 216 channels GPS L1/L2/L2C, Galileo E1                |
| JAVAD DUO_G3D        | 216 channels GPS L1/L2/L2C, GLONASS L1/L2, Galileo E1 |
| JAVAD DUO_G3D DELTA  | 216 channels GPS L1/L2/L2C, GLONASS L1/L2, Galileo E1 |
| JAVAD DUO_G3D SIGMA  | 216 channels GPS L1/L2/L2C, GLONASS L1/L2, Galileo E1 |
| JAVAD GISMORE        | 216 channels GPS L1, GLONASS L1, Galileo E1           |
| JAVAD QUA_G3D        | 216 channels GPS L1/L2/L2C, GLONASS L1/L2, Galileo E1 |
| JAVAD QUA_G3D DELTA  | 216 channels GPS L1/L2/L2C, GLONASS L1/L2, Galileo E1 |
| JAVAD QUA_G3D SIGMA  | 216 channels GPS L1/L2/L2C, GLONASS L1/L2, Galileo E1 |
| JAVAD TR_G2          | 216 channels GPS L1, Galileo E1                       |
| JAVAD TR_G2T         | 216 channels GPS L1/L2/L2C/L5, Galileo E1/E5A         |
| JAVAD TR_G2T ALPHA   | 216 channels GPS L1/L2/L2C/L5, Galileo E1/E5A         |
| JAVAD TR_G2TH        | 216 channels GPS L1/L2/L2C/L5, Galileo E1/E5A         |
| JAVAD TR_G2TH ALPHA  | 216 channels GPS L1/L2/L2C/L5, Galileo E1/E5A         |
| JAVAD TR_G3          | 216 channels GPS L1, GLONASS L1, Galileo E1           |
| JAVAD TR_G3 ALPHA    | 216 channels GPS L1, GLONASS L1, Galileo E1           |
| JAVAD TR_G3H         | 216 channels GPS L1, GLONASS L1, Galileo E1           |
| JAVAD TR_G3H ALPHA   | 216 channels GPS L1, GLONASS L1, Galileo E1           |
| JAVAD TR_G3T         | 216 channels GPS L1/L2/L2C/L5, GLO L1/L2, GAL E1/E5A  |
| JAVAD TR_G3T ALPHA   | 216 channels GPS L1/L2/L2C/L5, GLO L1/L2, GAL E1/E5A  |
| JAVAD TR_G3TH        | 216 channels GPS L1/L2/L2C/L5, GLO L1/L2, GAL E1/E5A  |
| JAVAD TR_G3TH ALPHA  | 216 channels GPS L1/L2/L2C/L5, GLO L1/L2, GAL E1/E5A  |
| JAVAD TR_VS          | 216 channels GPS L1/L2/L2C/L5, GLO L1/L2, GAL E1/E5A  |
|                      |   Triumph V.S. receiver                               |
| JAVAD TRE_G2T        | 216 channels GPS L1/L2/L2C/L5, Galileo E1/E5A         |
| JAVAD TRE_G2T DELTA  | 216 channels GPS L1/L2/L2C/L5, Galileo E1/E5A         |
| JAVAD TRE_G2T SIGMA  | 216 channels GPS L1/L2/L2C/L5, Galileo E1/E5A         |
| JAVAD TRE_G2TH       | 216 channels GPS L1/L2/L2C/L5, Galileo E1/E5A         |
| JAVAD TRE_G2TH DELTA | 216 channels GPS L1/L2/L2C/L5, Galileo E1/E5A         |
| JAVAD TRE_G2TH SIGMA | 216 channels GPS L1/L2/L2C/L5, Galileo E1/E5A         |
| JAVAD TRE_G3T        | 216 channels GPS L1/L2/L2C/L5, GLO L1/L2, GAL E1/E5A  |
| JAVAD TRE_G3T DELTA  | 216 channels GPS L1/L2/L2C/L5, GLO L1/L2, GAL E1/E5A  |
| JAVAD TRE_G3T SIGMA  | 216 channels GPS L1/L2/L2C/L5, GLO L1/L2, GAL E1/E5A  |
| JAVAD TRE_G3TAJ      | 216 channels GPS L1/L2/L2C/L5, GLO L1/L2, GAL E1/E5A  |
| JAVAD TRE_G3TAJ DELT | 216 channels GPS L1/L2/L2C/L5, GLO L1/L2, GAL E1/E5A  |
| JAVAD TRE_G3TAJ SIGM | 216 channels GPS L1/L2/L2C/L5, GLO L1/L2, GAL E1/E5A  |
| JAVAD TRE_G3TH       | 216 channels GPS L1/L2/L2C/L5, GLO L1/L2, GAL E1/E5A  |
| JAVAD TRE_G3TH DELTA | 216 channels GPS L1/L2/L2C/L5, GLO L1/L2, GAL E1/E5A  |
| JAVAD TRE_G3TH SIGMA | 216 channels GPS L1/L2/L2C/L5, GLO L1/L2, GAL E1/E5A  |
| JAVAD TRIUMPH1       | 216 channels GPS L1/L2/L2C/L5, GLO L1/L2, GAL E1/E5A  |
| JAVAD TRIUMPH4       | 216 channels GPS L1/L2/L2C/L5, Galileo E1/E5A         |
| JPS xxxxxxxx         | Note: JPS receiver types xxxxxxxx are passed          |
|                      |  automatically through firmware to JPS files          |
| JPS E_GGD            |  "Legacy E" 160mm Eurocard-based GPS/GLONASS dual     |
|                      |     frequency receiver                                |
| JPS EGGDT            |  Lexon LT GPS/GLONASS EURO GGDT board                 |
| JPS EUROCARD         |  GPS and/or GLONASS dual- or single- frequency        |
|                      |     receivers, including Eurocard-based Legacy        |
| JPS LEGACY           |  GPS/GLONASS dual- or single-frequency receiver,      |
|                      |   requires external antenna                           |
| JPS ODYSSEY          |  GPS/GLONASS dual- or single-frequency receiver,      |
|                      |    with internal (Legant) flat groundplane antenna    |
| JPS REGENCY          |  GPS/GLONASS dual- or single-frequency receiver,      |
|                      |   with internal (Regant) chokering antenna            |
+----------------------+-------------------------------------------------------+
| JAVAD Antennae       |                                                       |
| IGS Codes-15 columns |                      Description                      |
| XXXXXXXXXXXXXXX DOME |                                                       |
+----------------------+-------------------------------------------------------+
| JAV_GRANT-G3T        |  External GPS L1/L2/L5, GLO L1/L2, GAL E1/E5A         |
| JAV_RINGANT_G3T      |  External GPS L1/L2/L5, GLO L1/L2, GAL E1/E5A         |
|                      |   chokering antenna                                   |
| JAV_TRIUMPH-1        |  Integrated GPS L1/L2/L2C/L5, GLONASS L1/L2, Galileo  |
|                      |    E1/E5A Triumph1 antenna                            |
| JAVRINGANT_DM        |  External GPS L1/L2/L5, GLO L1/L2, GAL E1/E5/E6       |
|                      |   chokering antenna with Dorne Margolin element       |
| JAVTRIANT            |  External GPS L1/L2/L5, GLO L1/L2, GAL E1/E5          |
| JAVTRIUMPH_VS        |  Integrated GPS L1/L2/L5, GLONASS L1/L2, Galileo E1/E5|
|                      |    Triumph V.S. antenna                               |
| JNSMARANT_GGD        |  low-profile, waterproof GPS/GLONASS external antenna |
| JPSLEGANT_E          |  Antenna on flat groundplane                          |
| JPSODYSSEY_I         |  Antenna on flat groundplane,                         |
|                      |   integrated with Odyssey receiver                    |
| JPSREGANT_DD_E       |  Dual-depth chokering antenna, external               |
| JPSREGANT_DD_I       |  Dual-depth chokering antenna,                        |
|                      |   integrated with Regency receiver                    |
| JPSREGANT_SD_E       |  Single-depth chokering antenna, external             |
| JPSREGANT_SD_I       |  Single-depth chokering antenna,                      |
|                      |   integrated with Regency receiver                    |
+----------------------+-------------------------------------------------------+
| Previously valid     |  New Codes                                            |
+----------------------+-------------------------------------------------------+
| JPSMARANT_GGD        |  JNSMARANT_GGD                                        |
+----------------------+-------------------------------------------------------+
| JAVAD Antenna Domes  |                                                       |
| IGS Codes-cols.17-20 |                      Description                      |
| XXXXXXXXXXXXXXX DOME |                                                       |
+----------------------+-------------------------------------------------------+
| xxxxxxxxxxxxxxx JAVC |  Conical dome for JAV_RINGANT_G3T chokering antenna   |
| xxxxxxxxxxxxxxx JVDM |  Conical dome for JAVRINGANT_DM   chokering antenna   |
+----------------------+-------------------------------------------------------+

+----------------------+-------------------------------------------------------+
| LEICA Receivers      |                                                       |
| IGS Codes-20 columns |                      Description                      |
| XXXXXXXXXXXXXXXXXXXX |                                                       |
+----------------------+-------------------------------------------------------+
| LEICA ATX1230        |  12 channel L1/L2 receiver, Smartantenna              |
| LEICA ATX1230+GNSS   |  120 channel GPS L1/L2/L5, GLONASS, Galileo, Compass  |
|                      |  Smartantenna                                         |
| LEICA CRS1000        |  12 channel L1/L2, continuous reference station       |
| LEICA GMX901         |  12 GPS, L1, 1Hz, internal antenna                    |
| LEICA GMX902         |  12 GPS, L1/L2, 20 Hz                                 |
| LEICA GMX902GG       |  14 GPS, 12 GLONASS, L1/L2, 20 Hz                     |
| LEICA GR10           |  120 channel GPS L1/L2/L5, GLONASS, Galileo, Compass  |
|                      |    receiver                                           |
| LEICA GRX1200        |  12 channel L1/L2 CORS receiver (RTK out standard)    |
|                      |   Corresponds to following Leica product:             |
|                      |   - Old product name "GRX1200" till Feb. 2005         |
|                      |   - New product name "GRX1200 Classic" after Feb. 2005|
| LEICA GRX1200+       |  16 channel GPS L1/L2 receiver                        |
| LEICA GRX1200+GNSS   |  120 channel GPS L1/L2/L5, GLONASS, Galileo, Compass  |
|                      |  receiver                                             |
| LEICA GRX1200GGPRO   |  14 GPS, 12 GLONASS L1/L2, CORS receiver              |
|                      |  (RTK out standard)                                   |
| LEICA GRX1200LITE    |  12 channel L1/L2 CORS receiver                       |
|                      |  (RTK-SmartStation out standard)                      |
| LEICA GRX1200PRO     |  12 channel L1/L2 CORS receiver (RTK out standard)    |
| LEICA GS09           |  120 channel GPS L1/L2, GLONASS Smartantenna          |
| LEICA GS10           |  120 channel GPS L1/L2/L5, GLONASS, Galileo, Compass  |
|                      |  receiver (RTK in/out)                                |
| LEICA GS15           |  120 channel GPS L1/L2/L5, GLONASS, Galileo, Compass  |
|                      |  Smartantenna                                         |
| LEICA GX1210         |  12 channel GPS L1 receiver                           |
| LEICA GX1210+        |  16 channel GPS L1 receiver                           |
| LEICA GX1220         |  12 channel L1/L2 receiver                            |
| LEICA GX1220+        |  16 channel GPS L1/L2 receiver                        |
| LEICA GX1220+GNSS    |  120 channel GPS L1/L2/L5, GLONASS, Galileo, Compass  |
|                      |  receiver                                             |
| LEICA GX1230         |  12 channel GPS L1/L2 receiver (RTK in/out standard)  |
| LEICA GX1230+        |  16 channel GPS L1/L2 receiver (RTK in/out standard)  |
| LEICA GX1230+GNSS    |  120 channel GPS L1/L2/L5, GLONASS, Galileo, Compass  |
|                      |  receiver (RTK in/out)                                |
| LEICA GX1230GG       |  14 GPS, 12 GLONASS L1/L2 receiver (RTK in/out)       |
| LEICA MC1000         |  12 channel L1/L2 receiver (Machine Control)          |
| LEICA MC500          |  12 channel L1/L2 receiver, Ruggedized CORS           |
| LEICA MNA950GG       |  14 GPS, 12 GLONASS L1/L2 receiver (RTK in/out)       |
|                      |  PowerAntenna                                         |
| LEICA MNS1250GG      |  14 GPS, 12 GLONASS L1/L2 receiver (RTK in/out)       |
|                      |  PowerBox                                             |
| LEICA RS500          |  12 channel L1/L2 receiver, Advanced CORS             |
| LEICA SR260          |   6 channel L1 receiver, code-only                    |
| LEICA SR261          |   6 channel L1 receiver                               |
| LEICA SR299          |   9 channel L1/L2 receiver, internal antenna          |
| LEICA SR299E         |   9 channel L1/L2 receiver, external antenna          |
| LEICA SR399          |   9 channel L1/L2 receiver, internal antenna          |
| LEICA SR399E         |   9 channel L1/L2 receiver, external antenna          |
| LEICA SR510          |  12 channel L1    receiver                            |
| LEICA SR520          |  12 channel L1/L2 receiver                            |
| LEICA SR530          |  12 channel L1/L2 receiver (RTK option)               |
| LEICA SR9400         |  12 channel L1 receiver                               |
| LEICA SR9500         |  12 channel L1/L2 receiver                            |
| LEICA SR9600         |  12 channel L1/L2 receiver, engine = to  9500,CRS1000 |
